,dt_year,dt_date,country,region,level_of_development,greenhousegas_emissione_mtco2equivalent,total_government_revenue_proportion_of_gdp_perc,fdi_inflows_millionusd,annual_growth_rate_perc,proportion_of_population_with_primary_reliance_on_clean_fuels_a,mortality_rate_perc,renewable_energy_share_on_the_total_energy_consumption,co2emissions_from_fuel_combustion_in_millions_of_tonnes,fossilfuel_subsidies_consumption_and_production_billionusd,randd_expenditure_proportionofgdp_perc,national_action_plans_as_priority_national_policies,number_of_companies_publishing_sustainability_reports,education_for_sustainable_development,enhance_policy_coherence_for_sustainable_development,land_degraded_over_total_land_area,IIASA rates of no education projections (IIASA (2015)),GDP (constant 2015 US$),"Literacy rate, adult total (% of people ages 15 and above)",Annual CO₂ emissions (zero filled),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
2978,2004,2004-01-01,Montenegro,Europe and North America,Economies in Transition,4.84296,,49.43149,0.0424783,67.0,,0.0,,,0.0101874,,,,,,,2954514432.0,,2041277.9,
2979,2005,2005-01-01,Montenegro,Europe and North America,Economies in Transition,4.51042,,65.37657,0.0396747,66.0,0.258,47.61,2.01,,0.0092443,,,,,,5.0891717000000005,3078031104.0,,1750836.0,100.0
2980,2006,2006-01-01,Montenegro,Europe and North America,Economies in Transition,4.64392,,500.61185,0.0830808,65.0,,44.83,2.18,,0.0122991,,,,,,,3341708032.0,,2062832.1,
2981,2007,2007-01-01,Montenegro,Europe and North America,Economies in Transition,4.65501,,622.00163,0.0651794,65.0,,42.27,2.1,,0.0114521,,,,,,,3569283328.0,,2055504.1,
2982,2008,2008-01-01,Montenegro,Europe and North America,Economies in Transition,4.36587,,934.44223,0.0691816,64.0,,38.76,2.69,,,,,,,,,3827083776.0,,2605104.0,
2983,2009,2009-01-01,Montenegro,Europe and North America,Economies in Transition,3.08451,,960.42333,-0.0603993,63.0,,49.16,1.75,,,,,,,,,3605300736.0,,1681776.0,
2984,2010,2010-01-01,Montenegro,Europe and North America,Economies in Transition,4.02482,,1527.25942,0.0251448,63.0,0.236,49.09,2.58,,,,,,,,4.7132439,3703881472.0,,2421904.0,100.0
2985,2011,2011-01-01,Montenegro,Europe and North America,Economies in Transition,3.86359,,760.44077,0.0306418,63.0,,42.77,2.54,,0.0031485,,,,,,,3823459584.0,98.44220733642578,2407248.0,100.0
2986,2012,2012-01-01,Montenegro,Europe and North America,Economies in Transition,,,558.0527,-0.0282559,62.0,,45.86,2.33,,,,,,,,,3719316480.0,,2213056.0,100.0
2987,2013,2013-01-01,Montenegro,Europe and North America,Economies in Transition,,0.3671784,619.75295,0.0347955,62.0,,49.34,2.27,,0.0037430999999999,,,,,,,3851314176.0,,2150768.0,100.0
2988,2014,2014-01-01,Montenegro,Europe and North America,Economies in Transition,,0.3890047,447.4746,0.0173498,61.0,,45.95,2.22,,0.003632,,,,,,,3920009984.0,,2106800.0,100.0
2989,2015,2015-01-01,Montenegro,Europe and North America,Economies in Transition,,0.3608631,497.6552,0.0333907,61.0,0.228,42.96,2.36,0.0,0.00374,,,,,6.0,4.3771871,4052913408.0,,2238704.0,100.0
2990,2016,2016-01-01,Montenegro,Europe and North America,Economies in Transition,,,699.36536,0.0289874,62.0,,43.89,2.15,0.0,0.0032454,,,,,,,4172445184.0,,2015199.9,100.0
2991,2017,2017-01-01,Montenegro,Europe and North America,Economies in Transition,,,226.40964,0.0466657,62.0,,37.77,2.27,0.0,0.0034898,1.0,,,,,,4369236992.0,,2103136.0,100.0
2992,2018,2018-01-01,Montenegro,Europe and North America,Economies in Transition,,,558.56576,0.0503671,62.0,,40.6,2.5,0.0,0.0036414999999999,,,,,,,4591101952.0,98.84718322753906,2399920.0,
2993,2019,2019-01-01,Montenegro,Europe and North America,Economies in Transition,,,489.81482,0.0403347,62.0,0.223,38.74,2.6,0.0,,,,,,,,4777635840.0,,2476864.0,
2994,2020,2020-01-01,Montenegro,Europe and North America,Economies in Transition,,,417.06969,-0.1521537,62.0,,,,0.0,,,,0.0,,,4.0749390000000005,4046328320.0,,2451262.0,
2995,2021,2021-01-01,Montenegro,Europe and North America,Economies in Transition,,,,,,,,,,,,,,,,,,,1751386.0,
2996,2002,2002-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,1.0134129,0.52852,0.0472973,,,0.0,,,,,,,,,,,,47632.0,
2997,2003,2003-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,1.1610863,0.63965,-0.0195019,,,0.0,,,,,,,,,,,,36640.0,
2998,2004,2004-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,1.0479173,2.08062,0.0094135,,,0.0,,,,,,,,,,,,47632.0,
2999,2005,2005-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.6516887,2.3383,0.0035761,,,0.0,,,,,,,,,,,,40304.0,
3000,2006,2006-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.7041874,5.43766,-0.0186942,,,0.0,,,,,,,,,,,,40304.0,
3001,2007,2007-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.7654049,3.99052,0.0285822,,,0.0,,,,,,,,,,,,40304.0,
3002,2008,2008-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.7664784,6.84513,0.0464785,,,0.0,,,,,,,,,,,,47632.0,
3003,2009,2009-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.8745601999999999,12.68211,-0.0025568999999999,,,0.0,,,,,,,,,,,,43968.0,
3004,2010,2010-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.8091415999999999,2.5615,-0.0298010999999999,,,0.0,,,,,,,,,,,,58624.0,
3005,2011,2011-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.7800638,3.55009,0.050766,,,0.0,,,,,,,,,,,,36640.0,
3006,2012,2012-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.8264017,2.46385,0.0261863,,,0.0,,,,,,,,,,,,40304.0,
3007,2013,2013-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.9583403,2.61,0.0363039,,,0.0,,,,,,,,,,,,47632.0,
3008,2014,2014-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,0.9434832,3.73211,0.0068091,,,0.0,,,,,,,,,,,,47632.0,
3009,2015,2015-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,,5.04741,0.0087833,,,0.0,,0.0,,,,,,,,,,54960.0,
3010,2016,2016-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,,5.12148,-0.0060303,,,0.0,,0.0,,,,,,,,,,29312.0,
3011,2017,2017-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,,1.68444,-0.0058174,,,0.0,,0.0,,,,,,,,,,29312.0,
3012,2018,2018-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,,1.60741,0.0644069,,,0.0,,0.0,,,,,,,,,,29312.0,
3013,2019,2019-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,,1.70704,0.0712608,,,0.42,,0.0,,,,,,,,,,21984.0,
3014,2020,2020-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,,5.50741,-0.0535566,,,,,0.0,,,,0.0,,,,,,18770.0,
3015,2021,2021-01-01,Montserrat,Latin America and the Caribbean,Not Specified,,,,,,,,,,,,,,,,,,,20678.0,
3016,2002,2002-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2975833,2807.06007,0.02164,92.0,,14.94,33.34,,0.0052585999999999,,,,,,,56805416960.0,,37306284.0,
3017,2003,2003-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2847258,480.69071,0.0514568,93.0,,15.71,33.07,,0.0063070999999999,,,,,,,60191682560.0,,36570124.0,
3018,2004,2004-01-01,Morocco,North Africa and Western Asia,Developing Economies,71.3877,0.2905605,2314.4684,0.0364535,93.0,,23.0,36.6,,,,,,,,,63079088128.0,52.30625915527344,42225556.0,
3019,2005,2005-01-01,Morocco,North Africa and Western Asia,Developing Economies,74.6816,0.3092967,894.56271,0.0182771,94.0,0.25,20.15,39.22,,,,,,,,40.7652172,65155424256.0,,44660772.0,100.0
3020,2006,2006-01-01,Morocco,North Africa and Western Asia,Developing Economies,76.3694,0.3170957,1653.98573,0.0653857,94.0,,18.14,40.53,,0.0060789,,,,,,,70090711040.0,,46249416.0,
3021,2007,2007-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.350328,2449.4462,0.015227,95.0,,16.46,41.35,,,,,,,,,72566030336.0,,48912716.0,
3022,2008,2008-01-01,Morocco,North Africa and Western Asia,Developing Economies,85.2879,0.3686022,2804.50128,0.0467001,95.0,,14.62,43.18,,,,,,,,,76864315392.0,55.14791870117188,51369080.0,
3023,2009,2009-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.3446325999999999,2487.0941,0.0762777,95.0,,14.26,43.16,,,,,,,,,80126246912.0,56.08367156982422,50859732.0,
3024,2010,2010-01-01,Morocco,North Africa and Western Asia,Developing Economies,100.51644,0.3268245999999999,1951.70719,0.0263646,95.0,0.244,13.92,46.4,,0.0071454,,,,,,36.0485377,83183640576.0,,54365200.0,100.0
3025,2011,2011-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.3441118999999999,1573.85627,0.0485107999999999,95.0,,11.88,50.75,,,,,,,,,87547199488.0,67.08415985107422,54867636.0,100.0
3026,2012,2012-01-01,Morocco,North Africa and Western Asia,Developing Economies,96.10805,0.2803921,2568.43435,0.0088244,95.0,,10.93,52.24,,,,,,,,,90182336512.0,69.4253921508789,56953540.0,100.0
3027,2013,2013-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.278445,2728.36109,0.0344706,95.0,,11.59,51.52,,,,,,,,,94272487424.0,,56606420.0,100.0
3028,2014,2014-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2802607,3298.10243,0.0256172,95.0,,11.14,53.52,,,,,,,,,96789086208.0,75.58619689941406,57174916.0,100.0
3029,2015,2015-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2635648,3561.00277,0.0350484999999999,95.0,0.244,11.25,55.11,0.0,,,,,,19.0,31.9665635,101179809792.0,,58495180.0,100.0
3030,2016,2016-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2609336,3254.79935,0.0185184,95.0,,11.06,55.09,0.0,,,,,,,,102252167168.0,,58457476.0,100.0
3031,2017,2017-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2632458,2157.14944,0.0444247,95.0,,10.45,57.95,0.03349,,,2.0,,,,,106602594304.0,,61472124.0,100.0
3032,2018,2018-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2614104,2686.02972,0.0251868999999999,95.0,,10.9,59.39,0.12242,,,2.0,,,,,109958979584.0,73.75000762939453,63010040.0,
3033,2019,2019-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2575621999999999,3558.87886,0.0246701,95.0,0.241,10.69,65.9,0.15873,,,2.0,,,,,112826638336.0,,68607540.0,
3034,2020,2020-01-01,Morocco,North Africa and Western Asia,Developing Economies,,0.2855814,1719.96145,-0.0615068,95.0,,,,0.08811,,,2.0,0.0,,,28.3360986,105726173184.0,,64720320.0,
3035,2021,2021-01-01,Morocco,North Africa and Western Asia,Developing Economies,,,,,,,,,,,1.0,,,,,,,,70577660.0,
3036,2002,2002-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,255.43549,0.0613264,5.0,,93.22,1.37,,0.0037671,,,,,,,6393034240.0,,1537057.0,
3037,2003,2003-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,347.25283,0.0374399,5.0,,92.73,1.67,,,,,,,,,6832780800.0,48.15884017944336,1855517.0,
3038,2004,2004-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,336.6984,0.0477574,5.0,,92.94,1.69,,,,,,,,,7373691904.0,,1863973.0,
3039,2005,2005-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,475.51357,0.0361016,5.0,0.294,93.67,1.52,,,,,,,,31.0577238,7863740416.0,,1769698.0,100.0
3040,2006,2006-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,107.85332,0.0664405,5.0,,93.06,1.62,,0.0041336,,,,,,,8626080768.0,,1915622.0,
3041,2007,2007-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,112.60066,0.0478115,5.0,,87.53,1.97,,,,,,,,,9292855296.0,,2188865.0,
3042,2008,2008-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,398.65564,0.0441145,5.0,,88.11,1.95,,0.0013981,,,,,,,9972883456.0,,2179933.0,
3043,2009,2009-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,591.59923,0.0344781,5.0,,86.12,2.2,,,,,,,,,10602990592.0,50.58380889892578,2439006.0,
3044,2010,2010-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.2364054,898.28488,0.0361994999999999,5.0,0.3229999999999999,84.89,2.34,,0.0038695,,,,,,26.2719708,11292434432.0,,2634548.0,100.0
3045,2011,2011-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.2555736,2531.66175,0.0450442,5.0,,85.97,2.98,,,,,,,,,12130036736.0,,3106628.0,100.0
3046,2012,2012-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.2682662,3558.54361,0.0434573,5.0,,85.15,3.23,,,,,,,,,13010488320.0,,3054730.0,100.0
3047,2013,2013-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.3019296,5629.4097,0.0404232,5.0,,83.73,3.69,,,,,,,,,13916487680.0,,3581798.0,100.0
3048,2014,2014-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.3196623,6175.12464,0.0443457,5.0,,81.92,4.25,,,,,,,,,14946101248.0,,7920571.0,100.0
3049,2015,2015-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.2737245,4901.79009,0.0374040999999999,5.0,0.318,80.8,4.89,0.14658,0.0031312,,,,,,21.8669414,15950968832.0,56.03900146484375,6312897.0,100.0
3050,2016,2016-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.2360197,3866.83199,0.0088469,5.0,,78.2,6.33,0.0,,,,,,,,16560968704.0,,8159370.5,100.0
3051,2017,2017-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.259448,3093.4,0.0077534,5.0,,78.9,6.27,0.0,,,,,,,,17180567552.0,60.65542984008789,6949325.0,100.0
3052,2018,2018-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.2524953,2293.1,0.0047339999999999,5.0,,79.57,6.01,0.0,,,,,,,,17772232704.0,,7079789.0,
3053,2019,2019-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,0.3007949,2703.03129,-0.0061686,5.0,0.306,78.08,6.55,0.0,,,,,,,,18183589888.0,,7146829.0,
3054,2020,2020-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,2211.65443,-0.0404438,5.0,,,,0.0,,,,0.0,,,17.9611056,17959221248.0,,6669406.0,
3055,2021,2021-01-01,Mozambique,Sub-Saharan Africa,Least Developed,,,,,,,,,,,,,,,,,,,7156209.0,
3056,2002,2002-01-01,Myanmar,Other,Least Developed,34.77481,0.052872,15.29,0.1185639,5.0,,83.12,8.11,,0.0016216,,,,,,,18193096704.0,,9285877.0,
3057,2003,2003-01-01,Myanmar,Other,Least Developed,36.13445,0.0499972999999999,17.709,0.1264041,5.0,,79.86,10.26,,,,,,,,,20555712512.0,,9944164.0,
3058,2004,2004-01-01,Myanmar,Other,Least Developed,37.54213,0.0607252,1855.15,0.1259511999999999,5.0,,80.47,9.94,,,,,,,,,23370876928.0,,12512992.0,
3059,2005,2005-01-01,Myanmar,Other,Least Developed,38.3749,0.0665934,729.93,0.1241451,5.0,0.316,79.82,10.51,,,,,,,,16.6016614,26541588480.0,,11521173.0,100.0
3060,2006,2006-01-01,Myanmar,Other,Least Developed,,,110.35,0.116991,5.0,,81.46,9.75,,,,,,,,,30073444352.0,,12779149.0,
3061,2007,2007-01-01,Myanmar,Other,Least Developed,,,724.245,0.1035702,6.0,,80.7,10.16,,,,,,,,,33832771584.0,,12798005.0,
3062,2008,2008-01-01,Myanmar,Other,Least Developed,,,2.194,0.0972838999999999,7.0,,85.71,7.64,,,,,,,,,37579501568.0,,9729640.0,
3063,2009,2009-01-01,Myanmar,Other,Least Developed,,,603.425,0.096397,8.0,,85.48,7.24,,,,,,,,,41491468288.0,,10163186.0,
3064,2010,2010-01-01,Myanmar,Other,Least Developed,,,27.15,0.0701784,10.0,0.283,84.93,7.93,,,,,,,,14.8156655,45669363712.0,,13079121.0,100.0
3065,2011,2011-01-01,Myanmar,Other,Least Developed,,,6669.403,0.0567171999999999,12.0,,84.08,8.49,,,,,,,,,49103728640.0,,15039032.0,100.0
3066,2012,2012-01-01,Myanmar,Other,Least Developed,,0.2161379,1117.686,0.0701076,13.0,,78.46,11.62,,,,,,,,,52288475136.0,,11822064.0,100.0
3067,2013,2013-01-01,Myanmar,Other,Least Developed,,0.2248706999999999,496.877,0.0728409999999999,15.0,,75.96,13.17,,,,,,,,,56418570240.0,,12722144.0,100.0
3068,2014,2014-01-01,Myanmar,Other,Least Developed,,0.2517929,584.298,0.0659213999999999,18.0,,72.43,16.54,,,,,,,,,61044699136.0,,15849349.0,100.0
3069,2015,2015-01-01,Myanmar,Other,Least Developed,,0.2059054,946.223,0.0560081,20.0,0.261,70.43,18.66,0.31184,,,,,,23.0,13.2060615,63045308416.0,,21887144.0,100.0
3070,2016,2016-01-01,Myanmar,Other,Least Developed,,0.1906733,2824.0,0.0502345,22.0,,69.25,20.9,0.22532,,,,,,,,69669969920.0,75.55120086669922,21140408.0,100.0
3071,2017,2017-01-01,Myanmar,Other,Least Developed,,0.1859671,2989.0,0.0573261,24.0,,59.92,30.41,0.7902,0.0003105,,,,,,,73676038144.0,,23630086.0,100.0
3072,2018,2018-01-01,Myanmar,Other,Least Developed,,0.0795854,4341.0,0.0610290999999999,26.0,,59.55,31.35,1.1564,,,,,,,,78394974208.0,,34783468.0,
3073,2019,2019-01-01,Myanmar,Other,Least Developed,,0.1638788,3554.048,0.0253024,29.0,0.249,57.85,35.13,0.82335,,,,,,,,83686989824.0,89.0699462890625,34609116.0,
3074,2020,2020-01-01,Myanmar,Other,Least Developed,,,2766.0,-0.1848736,31.0,,,,0.60275,,,,1.0,,,11.7608852,86343024640.0,,36088892.0,
3075,2021,2021-01-01,Myanmar,Other,Least Developed,,,,,,,,,,,,,,,,,,,36306760.0,
3076,2002,2002-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.2954602,365.17218,0.0321241,35.0,,33.74,2.13,,,,,,,,,5945752576.0,,1788032.0,
3077,2003,2003-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.2611019,181.36348,0.0270908,36.0,,33.3,2.27,,,,,,,,,6197840384.0,,1883296.0,
3078,2004,2004-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.2654982,148.74887,0.1058480999999999,36.0,,34.75,2.38,,,,,,,,,6958287360.0,,1971232.0,
3079,2005,2005-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.2831624,225.84722,0.0091197,37.0,0.297,34.54,2.53,,,,,,,,,7134280704.0,,2311984.0,100.0
3080,2006,2006-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3253251,385.24106,0.0528092,38.0,,35.32,2.54,,,,,,,,,7638900736.0,,2337632.0,
3081,2007,2007-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3356379,386.57575,0.0352564,39.0,,35.84,2.62,,,,,,,,,8049418752.0,76.48658752441406,2264352.0,
3082,2008,2008-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3341414,732.95985,0.0079715,40.0,,32.33,2.95,,,,,,,,,8262713344.0,,2704032.0,
3083,2009,2009-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3192126,720.26653,-0.0151857,40.0,,33.21,3.02,,,,,,,,,8287168512.0,,2762656.0,
3084,2010,2010-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.2829372,841.18251,0.0414604,41.0,0.256,31.03,3.13,,0.0014165,,,,,,,8787651584.0,,2839600.0,100.0
3085,2011,2011-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3320178,283.79983,0.0324825,41.0,,31.46,3.18,,,,,,,,,9235060736.0,88.27462768554688,2782096.0,100.0
3086,2012,2012-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.355529,817.06539,0.032386,42.0,,31.74,3.3,,,,,,,,,9702509568.0,,3355055.0,100.0
3087,2013,2013-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3607062,1060.80692,0.0378355,43.0,,30.55,3.52,,,,,,,,,10247278592.0,,2567728.0,100.0
3088,2014,2014-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3704771,769.86461,0.0422983,44.0,,30.09,3.65,,0.0035209,,,,,,,10871596032.0,,3677997.0,100.0
3089,2015,2015-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3575903,441.17378,0.0239586,44.0,0.247,28.99,3.87,0.0,,,,,,19.0,,11335179264.0,,3851304.0,100.0
3090,2016,2016-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3539582,887.99553,-0.0179631,45.0,,29.33,3.86,0.0,,,,,,,,11339010048.0,,4051196.0,100.0
3091,2017,2017-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3869662,355.59023,-0.0286403,46.0,,29.94,3.86,0.0,,,,,,,,11222530048.0,,4216153.0,100.0
3092,2018,2018-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3587625,279.94604,-0.0077791999999999,46.0,,30.66,3.82,0.0,,,,,,,,11341483008.0,91.52726745605467,4154920.0,
3093,2019,2019-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3838544,208.55676,-0.0244805999999999,46.0,0.226,30.69,3.81,0.0,,,,,,,,11240759296.0,,4107047.0,
3094,2020,2020-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,0.3136993,-178.92567,-0.0966297999999999,47.0,,,,0.0,,,,0.0,,,,10285278208.0,,3945144.0,
3095,2021,2021-01-01,Namibia,Sub-Saharan Africa,Developing Economies,,,,,,,,,,,,,,,,,,,4014822.0,
3096,2002,2002-01-01,Nauru,Other,Not Specified,,,,-0.0896424,95.0,,0.0,,,,,,,,,,,,76944.0,
3097,2003,2003-01-01,Nauru,Other,Not Specified,0.0415,,,0.0136838,95.0,,0.0,,,,,,,,,,,,65952.0,
3098,2004,2004-01-01,Nauru,Other,Not Specified,,,,-0.0342581999999999,95.0,,0.0,,,,,,,,,,33993796.0,,65952.0,
3099,2005,2005-01-01,Nauru,Other,Not Specified,,,,-0.1160066999999999,95.0,,0.0,,,,,,,,,,32963680.0,,62288.0,
3100,2006,2006-01-01,Nauru,Other,Not Specified,,,,-0.1959533,95.0,,0.07,,,,,,,,,,36054024.0,,43968.0,
3101,2007,2007-01-01,Nauru,Other,Not Specified,0.0226,,,0.0022061,95.0,,0.08,,,,,,,,,,27813106.0,,43968.0,
3102,2008,2008-01-01,Nauru,Other,Not Specified,,,,0.9461399,95.0,,0.08,,,,,,,,,,33993796.0,,43968.0,
3103,2009,2009-01-01,Nauru,Other,Not Specified,,,,-0.1855518,95.0,,0.04,,,,,,,,,,37084140.0,,40304.0,
3104,2010,2010-01-01,Nauru,Other,Not Specified,0.04219,,,0.1280184,95.0,,0.03,,,,,,,,,,41204600.0,,43968.0,
3105,2011,2011-01-01,Nauru,Other,Not Specified,,,,0.1096505,95.0,,0.05,,,,,,,,,,45325060.0,,40304.0,
3106,2012,2012-01-01,Nauru,Other,Not Specified,,,,0.0932588,95.0,,0.07,,,,,,,,,,50475636.0,,43968.0,
3107,2013,2013-01-01,Nauru,Other,Not Specified,,,,0.0934179999999999,95.0,,0.06,,,,,,,,,,65927360.0,,47632.0,
3108,2014,2014-01-01,Nauru,Other,Not Specified,,0.9462735,,0.3317192,95.0,,0.05,,,,,,,,,,83439320.0,,51296.0,
3109,2015,2015-01-01,Nauru,Other,Not Specified,,0.9722752,,0.3528777,95.0,,0.1,,0.0,,,,,,,,86529664.0,,54960.0,
3110,2016,2016-01-01,Nauru,Other,Not Specified,,0.9974265,,0.0190544,95.0,,0.18,,0.0,,,,,,,,89620008.0,,51296.0,
3111,2017,2017-01-01,Nauru,Other,Not Specified,,1.004641,,0.020453,95.0,,0.6,,0.0,,,,,,,,84469432.0,,54960.0,
3112,2018,2018-01-01,Nauru,Other,Not Specified,,1.1919151,,-0.0635909,95.0,,0.66,,0.0,,,,,,,,89620008.0,,54960.0,
3113,2019,2019-01-01,Nauru,Other,Not Specified,,1.4872016,,0.0485487,95.0,,0.61,,0.0,,,,,,,,89620008.0,,54960.0,
3114,2020,2020-01-01,Nauru,Other,Not Specified,,1.7021834999999998,,0.0036548,95.0,,,,1e-05,,,,0.0,,,,90650120.0,,58006.0,
3115,2021,2021-01-01,Nauru,Other,Not Specified,,,,,,,,,,,,,,,,,,,59611.0,
3116,2002,2002-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1046042,20.85,-0.0008474,8.0,,89.95,2.67,,,,,,,,,14125274112.0,,2596383.0,
3117,2003,2003-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1155441,-5.95254,0.0385351,10.0,,89.44,2.91,,,,,,,,,14682521600.0,,2810383.0,
3118,2004,2004-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1158141999999999,1.78615,0.0468021,11.0,,90.3,2.7,,,,,,,,,15370045440.0,,2582410.0,
3119,2005,2005-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1223737,-0.41735,0.0354869,13.0,0.184,89.52,3.07,,,,,,,,47.996131,15904797696.0,,2986772.0,100.0
3120,2006,2006-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1124726,2.45178,0.0346231,15.0,,91.25,2.5,,,,,,,,,16439932928.0,,2456469.0,
3121,2007,2007-01-01,Nepal,Central and Southern Asia,Least Developed,,0.122816,-6.64798,0.0354986,16.0,,91.31,2.58,,,,,,,,,17000791040.0,,2570341.0,
3122,2008,2008-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1293904,5.89024,0.0638886,18.0,,90.47,2.88,,0.0005439,,,,,,,18038628352.0,,3351788.0,
3123,2009,2009-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1469532,1.01058,0.0508637,20.0,,88.93,3.43,,0.0025924,,,,,,,18856333312.0,,4129352.0,
3124,2010,2010-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1585919,38.54543,0.0571854999999999,22.0,0.2019999999999999,87.29,4.12,,0.003022,,,,,,41.6592108,19764531200.0,,4824304.0,100.0
3125,2011,2011-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1618439,86.62561,0.0470657,23.0,,86.95,4.41,,,,,,,,,20440840192.0,59.62725067138672,5220429.0,100.0
3126,2012,2012-01-01,Nepal,Central and Southern Asia,Least Developed,,0.162118,95.48636,0.0463989999999999,25.0,,84.7,4.97,,,,,,,,,21348106240.0,,5470253.0,100.0
3127,2013,2013-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1697619,91.97774,0.038035,26.0,,86.05,4.95,,,,,,,,,22100658176.0,,6217840.0,100.0
3128,2014,2014-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1812437999999999,71.32127,0.0605409,28.0,,84.06,5.95,,,,,,,,,23429236736.0,,7591334.0,100.0
3129,2015,2015-01-01,Nepal,Central and Southern Asia,Least Developed,,0.1856768999999999,30.18835,0.0355633,29.0,0.215,85.04,5.69,0.04646,,,,,,,36.1621746,24360796160.0,,6904657.0,100.0
3130,2016,2016-01-01,Nepal,Central and Southern Asia,Least Developed,,0.2009207999999999,51.55803,-0.0048195,30.0,,79.2,8.5,0.11249,,,,,,,,24466305024.0,,9760756.0,100.0
